epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kpt_loss,train/shape_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/kpt_loss,val/shape_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,1394.74,1.09716,0.45419,1.03426,0.02482,0.00071,0.88454,0.70576,0.79162,0.53981,1.14382,0.54769,1.05633,0,0,0.028383,0.009461,0.028383,0.009461,0.028383,0.009461,0.028383,0.009461
51,1420.41,1.08888,0.45099,1.03488,0.02483,0.00069,0.87184,0.71074,0.79073,0.54241,1.14542,0.54367,1.05834,0,0,0.02835,0.00945,0.02835,0.00945,0.02835,0.00945,0.02835,0.00945
52,1446.07,1.08881,0.452,1.03448,0.02467,0.00069,0.86076,0.68548,0.76383,0.52292,1.1679,0.55625,1.06676,0,0,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
53,1472.2,1.0848,0.44947,1.03254,0.02443,0.00067,0.88349,0.72799,0.80692,0.55512,1.13172,0.52534,1.05655,0,0,0.028284,0.009428,0.028284,0.009428,0.028284,0.009428,0.028284,0.009428
54,1497.96,1.07936,0.44831,1.03021,0.0244,0.00066,0.88403,0.71848,0.79491,0.54525,1.14175,0.53459,1.05886,0,0,0.028251,0.009417,0.028251,0.009417,0.028251,0.009417,0.028251,0.009417
55,1523.57,1.07918,0.44771,1.03247,0.02412,0.00065,0.87738,0.69754,0.77898,0.53834,1.13022,0.54862,1.05276,0,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
56,1549.3,1.07586,0.44573,1.03015,0.02389,0.00064,0.87036,0.70023,0.78219,0.53669,1.14833,0.54801,1.05656,0,0,0.028185,0.009395,0.028185,0.009395,0.028185,0.009395,0.028185,0.009395
57,1575.06,1.07687,0.44505,1.02988,0.02378,0.00064,0.8803,0.72419,0.80059,0.54726,1.15448,0.5368,1.05872,0,0,0.028152,0.009384,0.028152,0.009384,0.028152,0.009384,0.028152,0.009384
58,1600.92,1.0734,0.44416,1.03033,0.02373,0.00063,0.87523,0.72341,0.80419,0.54901,1.14651,0.53286,1.05845,0,0,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
59,1626.59,1.0714,0.44333,1.0294,0.02352,0.00062,0.88294,0.72492,0.80502,0.54834,1.14528,0.53007,1.06081,0,0,0.028086,0.009362,0.028086,0.009362,0.028086,0.009362,0.028086,0.009362
60,1652.49,1.07142,0.44123,1.02879,0.02356,0.00061,0.87121,0.73063,0.80335,0.54693,1.15382,0.53726,1.05807,0,0,0.028053,0.009351,0.028053,0.009351,0.028053,0.009351,0.028053,0.009351
61,1678.51,1.07256,0.44236,1.02946,0.02346,0.00061,0.88395,0.71654,0.79644,0.55132,1.11656,0.51885,1.05308,0,0,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
62,1704.28,1.06732,0.44169,1.02871,0.02309,0.0006,0.87656,0.73652,0.80995,0.55474,1.1421,0.52729,1.05509,0,0,0.027987,0.009329,0.027987,0.009329,0.027987,0.009329,0.027987,0.009329
63,1729.93,1.06421,0.43972,1.0265,0.02316,0.00059,0.88082,0.69488,0.77632,0.54064,1.11983,0.54005,1.05338,0,0,0.027954,0.009318,0.027954,0.009318,0.027954,0.009318,0.027954,0.009318
64,1755.6,1.06612,0.43991,1.02627,0.0231,0.00059,0.86668,0.71935,0.79474,0.54217,1.14753,0.53867,1.05683,0,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
65,1781.63,1.06104,0.43836,1.02527,0.02301,0.00058,0.88062,0.70307,0.77667,0.53533,1.13178,0.53466,1.05244,0,0,0.027888,0.009296,0.027888,0.009296,0.027888,0.009296,0.027888,0.009296
66,1807.16,1.06118,0.43702,1.02421,0.02267,0.00057,0.87826,0.7295,0.80279,0.553,1.12525,0.51669,1.05169,0,0,0.027855,0.009285,0.027855,0.009285,0.027855,0.009285,0.027855,0.009285
67,1833.18,1.0613,0.43662,1.02598,0.02258,0.00057,0.88731,0.72857,0.80833,0.55012,1.16065,0.53839,1.06318,0,0,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
68,1858.96,1.05472,0.43553,1.0245,0.02254,0.00056,0.88606,0.72724,0.80771,0.55664,1.12678,0.52155,1.04909,0,0,0.027789,0.009263,0.027789,0.009263,0.027789,0.009263,0.027789,0.009263
69,1884.59,1.0559,0.43538,1.02336,0.02247,0.00056,0.876,0.72124,0.79951,0.55119,1.13388,0.52762,1.05262,0,0,0.027756,0.009252,0.027756,0.009252,0.027756,0.009252,0.027756,0.009252
70,1910.13,1.04826,0.43281,1.02242,0.02223,0.00055,0.86841,0.73199,0.80076,0.55306,1.12122,0.52223,1.04898,0,0,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
71,1936.12,1.05418,0.43441,1.02229,0.02226,0.00055,0.86946,0.71071,0.78649,0.54498,1.125,0.53308,1.04875,0,0,0.02769,0.00923,0.02769,0.00923,0.02769,0.00923,0.02769,0.00923
72,1961.76,1.05175,0.4339,1.02348,0.02202,0.00054,0.88731,0.73037,0.80729,0.55881,1.11473,0.51685,1.04572,0,0,0.027657,0.009219,0.027657,0.009219,0.027657,0.009219,0.027657,0.009219
73,1987.52,1.05458,0.43391,1.02294,0.02207,0.00053,0.88508,0.73429,0.81229,0.55589,1.14397,0.51907,1.05375,0,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
74,2013.39,1.05176,0.43282,1.02225,0.02194,0.00053,0.88422,0.73107,0.80853,0.55894,1.11599,0.51804,1.04781,0,0,0.027591,0.009197,0.027591,0.009197,0.027591,0.009197,0.027591,0.009197
75,2039.74,1.05056,0.43259,1.023,0.02172,0.00052,0.88364,0.72553,0.80188,0.55412,1.1201,0.5209,1.04955,0,0,0.027558,0.009186,0.027558,0.009186,0.027558,0.009186,0.027558,0.009186
76,2065.33,1.0487,0.43267,1.0216,0.02152,0.00051,0.87837,0.72431,0.80034,0.54729,1.14844,0.53397,1.05409,0,0,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
77,2091.51,1.04668,0.43148,1.02204,0.02141,0.00051,0.87294,0.71773,0.79674,0.54585,1.15535,0.54161,1.05864,0,0,0.027492,0.009164,0.027492,0.009164,0.027492,0.009164,0.027492,0.009164
78,2117.33,1.04504,0.43086,1.02047,0.02126,0.0005,0.87805,0.71155,0.79179,0.54724,1.12723,0.53632,1.04997,0,0,0.027459,0.009153,0.027459,0.009153,0.027459,0.009153,0.027459,0.009153
79,2143.11,1.04401,0.42993,1.0196,0.02131,0.00049,0.8842,0.69491,0.78492,0.54419,1.12384,0.54606,1.04835,0,0,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
80,2168.71,1.04277,0.42972,1.01998,0.02092,0.00049,0.87369,0.72601,0.80522,0.55544,1.12586,0.52645,1.04948,0,0,0.027393,0.009131,0.027393,0.009131,0.027393,0.009131,0.027393,0.009131
81,2194.67,1.03861,0.4287,1.0196,0.02083,0.00048,0.87354,0.707,0.78733,0.54177,1.13783,0.53857,1.0553,0,0,0.02736,0.00912,0.02736,0.00912,0.02736,0.00912,0.02736,0.00912
82,2220.55,1.0375,0.42674,1.01859,0.02092,0.00047,0.8781,0.72677,0.80382,0.55192,1.13898,0.52864,1.05515,0,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
83,2246.44,1.04014,0.42686,1.01851,0.02064,0.00046,0.88219,0.7317,0.81039,0.55508,1.13539,0.52509,1.05236,0,0,0.027294,0.009098,0.027294,0.009098,0.027294,0.009098,0.027294,0.009098
84,2272.25,1.03888,0.42767,1.01907,0.0205,0.00045,0.87465,0.72199,0.7971,0.55199,1.12657,0.5292,1.04811,0,0,0.027261,0.009087,0.027261,0.009087,0.027261,0.009087,0.027261,0.009087
85,2298.23,1.03878,0.42682,1.01853,0.02045,0.00044,0.88143,0.71799,0.79806,0.54971,1.13183,0.53587,1.05115,0,0,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
86,2324.41,1.03196,0.42619,1.0179,0.02022,0.00043,0.88241,0.72284,0.80166,0.55419,1.12356,0.52854,1.04615,0,0,0.027195,0.009065,0.027195,0.009065,0.027195,0.009065,0.027195,0.009065
87,2350.23,1.03625,0.42583,1.01663,0.02017,0.00042,0.88054,0.73376,0.80801,0.55723,1.1185,0.51971,1.04576,0,0,0.027162,0.009054,0.027162,0.009054,0.027162,0.009054,0.027162,0.009054
88,2375.79,1.0337,0.42419,1.01708,0.01984,0.00041,0.88256,0.72802,0.80423,0.55593,1.1243,0.52811,1.04823,0,0,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
89,2402.05,1.03293,0.42437,1.01632,0.01968,0.0004,0.89052,0.72938,0.80952,0.56062,1.11131,0.51721,1.04374,0,0,0.027096,0.009032,0.027096,0.009032,0.027096,0.009032,0.027096,0.009032
